"NameID","year","Maker","Type","Name","Sales","Model","Nippyo","price","kata","capacity","FuelType","FuelEfficiency","HH","size","hppw","share","share0","hppw_sum_own","FuelEfficiency_sum_own","size_sum_own","hppw_sqr_sum_own","FuelEfficiency_sqr_sum_own","size_sqr_sum_own","hppw_sum_mkt","FuelEfficiency_sum_mkt","size_sum_mkt","hppw_sqr_sum_mkt","FuelEfficiency_sqr_sum_mkt","size_sqr_sum_mkt","iv_BLP_own_hppw","iv_BLP_own_FuelEfficiency","iv_BLP_own_size","iv_BLP_other_hppw","iv_BLP_other_FuelEfficiency","iv_BLP_other_size","iv_GH_own_hppw","iv_GH_own_FuelEfficiency","iv_GH_own_size","iv_GH_other_hppw","iv_GH_other_FuelEfficiency","iv_GH_other_size"
192,2007,"Toyota","Regular","ハイラックス",6845,"2.7 SSR-X Vセレクション",0,2.56841666666667,"CBA-TRN210W",5,"レギュラー",8.9,51713048,16.4278145,0.0947674418604651,0.00013236504643857,0.920174188920367,4.47956536262237,642,547.716383,0.477344197619709,10416.5,7045.01770413567,16.3660414574522,2417.4,1872.269921125,1.78528594497367,38762.92,22237.8767972557,4.3847979207619,633.1,531.2885685,11.8864760948299,1775.4,1324.553538125,0.0234684911129446,2474.14,923.867353907819,0.14172491531874,6328.71,4328.46325266334
192,2008,"Toyota","Regular","ハイラックス",5962,"2.7 SSR-X Vセレクション",0,2.53194827586207,"CBA-TRN210W",5,"レギュラー",8.9,52324877,16.4278145,0.0947674418604651,0.000113941978306036,0.923564101259139,3.84222212989681,581,493.45984625,0.395245005269097,9477.96,6479.77360525685,16.373780489064,2448.6,1872.2713685,1.835727397753,39436.96,22275.9391307519,3.74745468803635,572.1,477.03203175,12.5315583591672,1867.6,1378.81152225,0.0172637340834081,2225.35,791.890451079809,0.196904308670964,6696.18,4498.45493457144
192,2009,"Toyota","Regular","ハイラックス",3340,"2.7 SSR-X Vセレクション",0,2.56841666666667,"CBA-TRN210W",5,"レギュラー",8.9,52877802,16.4278145,0.0947674418604651,6.3164501429163e-05,0.929189662611165,3.8923568879463,590.5,494.072033125,0.408695630822321,9883.33,6495.02524074215,16.6970933878047,2451.2,1912.1876505,1.89477188385809,39451.98,23050.6041581351,3.79758944608583,581.6,477.644218625,12.8047364998584,1860.7,1418.115617375,0.0212120740993466,2461.62,787.028301721435,0.199702250128591,6507.86000000001,4236.38064810813
192,2010,"Toyota","Regular","ハイラックス",22,"2.7 SSR-X Vセレクション",0,2.58704766839378,"CBA-TRN210W",5,"レギュラー",8.9,53362801,16.4278145,0.0947674418604651,4.12272211872836e-07,0.924956956438625,4.15903949272583,626.4,522.427949875,0.443713177472309,10621.12,6905.55356753587,17.1436315603779,2569.6,1952.225655375,1.94621901097712,42192.38,23463.3298474988,4.06427205086537,617.5,506.000135375,12.984592067652,1943.2,1429.7977055,0.0236457003356038,2718.81,805.651326315092,0.200004662542852,7200.38999999999,4394.50183579056
194,2006,"Toyota","Regular","ハリアー",33134,"2.4 240G",0,2.74108333333333,"CBA-ACU30W",5,"レギュラー",11,51102005,14.676606,0.1,0.000648389432078056,0.915227533635911,4.58795974810207,630.9,546.961630875,0.503898058569275,10126.55,7022.55480214796,16.3243080273344,2414.4,1863.32285775,1.77601497080347,38911.12,22009.5113677864,4.48795974810207,619.9,532.285024875,11.7363482792324,1783.5,1316.361226875,0.0263061089488603,1570.75,445.195697094725,0.134847256387718,4188.57000000001,2411.26080978408
194,2007,"Toyota","Regular","ハリアー",33923,"2.4 240G",0,2.74108333333333,"CBA-ACU30W",5,"レギュラー",11,51713048,14.676606,0.1,0.000655985313416452,0.920174188920367,4.47956536262237,642,547.716383,0.477344197619709,10416.5,7045.01770413567,16.3660414574522,2417.4,1872.269921125,1.78528594497367,38762.92,22237.8767972557,4.37956536262237,631,533.039777,11.8864760948299,1775.4,1324.553538125,0.0214311250952363,1616.5,445.504199949863,0.140646528387989,3928.62,2376.6926883744
194,2008,"Toyota","Regular","ハリアー",27404,"2.4 240G",0,2.70216328600406,"CBA-ACU30W",5,"レギュラー",11,52324877,14.676606,0.1,0.000523727939198022,0.923564101259139,3.84222212989681,581,493.45984625,0.395245005269097,9477.96,6479.77360525685,16.373780489064,2448.6,1872.2713685,1.835727397753,39436.96,22275.9391307519,3.74222212989681,570,478.78324025,12.5315583591672,1867.6,1378.81152225,0.016800579289734,1414.96,395.849908283401,0.194170720650475,4117.8,2464.36682843178
194,2009,"Toyota","Regular","ハリアー",15249,"2.4 240G",0,2.74108333333333,"CBA-ACU30W",5,"レギュラー",11,52877802,14.676606,0.1,0.00028838188092614,0.929189662611165,3.8923568879463,590.5,494.072033125,0.408695630822321,9883.33,6495.02524074215,16.6970933878047,2451.2,1912.1876505,1.89477188385809,39451.98,23050.6041581351,3.7923568879463,579.5,479.395427125,12.8047364998584,1860.7,1418.115617375,0.0202242532330617,1611.33,393.131892643203,0.19512895306409,4000.25000000001,2285.48154733669
194,2010,"Toyota","Regular","ハリアー",12316,"2.4 240G",0,2.76096683937824,"CBA-ACU30W",5,"レギュラー",11,53362801,14.676606,0.1,0.000230797480064811,0.924956956438625,4.15903949272583,626.4,522.427949875,0.443713177472309,10621.12,6905.55356753587,17.1436315603779,2569.6,1952.225655375,1.94621901097712,42192.38,23463.3298474988,4.05903949272583,615.4,507.751343875,12.984592067652,1943.2,1429.7977055,0.0219052789271426,1801.32,402.128510978293,0.195587419974401,4429.86,2375.57762792929
194,2011,"Toyota","Regular","ハリアー",8970,"2.4 240G",0,2.76670093457944,"CBA-ACU30W",5,"レギュラー",11,53783435,14.676606,0.1,0.000166779976027935,0.93898110077945,3.94812396351109,614.8,492.682771125,0.421382355044191,10722.5,6458.18765551562,16.0219577271308,2513.9,1844.750029365,1.81995528176674,43068.89,22207.6743766989,3.84812396351109,603.8,478.006165125,12.0738337636197,1899.1,1352.06725824,0.0217575623419729,1915.9,397.073609426225,0.193806173998615,5207.19,2125.70425699341
